model_name,model_size_b,dataset_name,module_name,module_short,module_role,module_class,module_leaf,layer_idx,num_layers_hint,normalized_depth,candidate_format,seeds,n_labeled_seeds,baseline_loss_mean,perturbed_loss_mean,perturbation_delta_mean,perturbation_delta_min,perturbation_delta_max,mean_abs_delta,max_abs_delta,std_abs_delta,max_batch_loss_delta_abs,safe_rate,safe_seed_count,label_count,safe_all_seeds_int,activation_outlier_score_mean,activation_outlier_score_max,input_outlier_score_mean,input_outlier_score_max,output_outlier_score_mean,output_outlier_score_max,int8_rel_mse_mean,int8_rel_mse_max,input_int8_rel_mse_mean_mean,input_int8_rel_mse_mean_max,output_int8_rel_mse_mean_mean,output_int8_rel_mse_mean_max,output_int4_rel_mse_mean_mean,output_int4_rel_mse_mean_max,output_int8_saturation_mean_mean,output_int8_saturation_mean_max,output_int4_saturation_mean_mean,output_int4_saturation_mean_max,safe_threshold,safe_all_seeds,safe_majority,unsafe_all_seeds,unsafe_any_seed,conservative_rescue_target,activation_outlier_score_agg,int8_rel_mse_agg
Qwen/Qwen2.5-0.5B,0.5,tatsu-lab/alpaca,base_model.model.lm_head,base_model.model.lm_head,logits,Linear,lm_head,,24,,fake_int8_output,"42,43,44",3,2.18266287446,2.18549152215,0.002828647692998667,0.000936567783356,0.00498601794243,0.002828647692998667,0.00498601794243,0.00203771830020614,0.0176393985748,1.0,3,3,1,19.7349472046,19.8866863251,19.7349472046,19.8866863251,7.7459359169,8.35782432556,0.0018560137104966668,0.00190445838962,0.0018560137104966668,0.00190445838962,0.00023569154412433335,0.000248579290201,0.0759420582714,0.0797698684037,1.00268323422e-06,1.00268323422e-06,2.9662712250899998e-06,3.13338507851e-06,0.005,1,1,0,0,0,19.8866863251,0.00190445838962
Qwen/Qwen2.5-0.5B,0.5,tatsu-lab/alpaca,base_model.model.model.layers.2.mlp.down_proj,layers.2.mlp.down_proj,mlp_projection,Linear,down_proj,2.0,24,0.0869565217391,fake_int8_output,"42,43,44",3,2.18266287446,2.5525459945199995,0.36988312005999996,0.222770959139,0.463044792414,0.36988312005999996,0.463044792414,0.12890256068685804,1.28692173958,0.0,0,3,0,909.6824544269999,909.702819824,909.6824544269999,909.702819824,661.5279947916666,661.58392334,0.015970443802266667,0.0160659895046,0.003131366383363333,0.00317894975888,0.015970443802266667,0.0160659895046,0.04671703775723333,0.0468095955439,2.17982710637e-06,2.17982710637e-06,2.17982710637e-06,2.17982710637e-06,0.005,0,0,1,1,1,909.702819824,0.0160659895046
Qwen/Qwen2.5-0.5B,0.5,tatsu-lab/alpaca,base_model.model.model.layers.21.mlp.down_proj,layers.21.mlp.down_proj,mlp_projection,Linear,down_proj,21.0,24,0.913043478261,fake_int8_output,"42,43,44",3,2.18266287446,2.4491627812366663,0.26649990677833335,0.185643613338,0.327122539282,0.26649990677833335,0.327122539282,0.07287744779931549,0.459856629372,0.0,0,3,0,776.4883219403333,779.88079834,776.4883219403333,779.88079834,585.7137451173334,590.165649414,0.10618074145166667,0.107701626606,0.047205712025366664,0.0476584616117,0.10618074145166667,0.107701626606,0.27266487851733334,0.28189972043,2.17982710637e-06,2.17982710637e-06,2.17982710637e-06,2.17982710637e-06,0.005,0,0,1,1,1,779.88079834,0.107701626606
Qwen/Qwen2.5-0.5B,0.5,tatsu-lab/alpaca,base_model.model.model.layers.22.mlp.gate_proj,layers.22.mlp.gate_proj,mlp_projection,Linear,gate_proj,22.0,24,0.95652173913,fake_int8_output,"42,43,44",3,2.18266287446,2.1835388541233334,0.0008759796619413332,-0.00101554393768,0.00344422459602,0.001553008953728,0.00344422459602,0.0016879286132981811,0.00739169120789,1.0,3,3,1,15.5331331889,16.9301338196,15.5331331889,16.9301338196,11.184930165633332,12.0676555634,0.0009098160250386667,0.000995358466753,0.0009098160250386667,0.000995358466753,0.0005503536061343333,0.000573707555304,0.18032385843499998,0.187549224123,1.6563810163466668e-06,2.10812129353e-06,0.00012196987538933334,0.000146665011016,0.005,1,1,0,0,0,16.9301338196,0.000995358466753
Qwen/Qwen2.5-0.5B,0.5,tatsu-lab/alpaca,base_model.model.model.layers.22.mlp.up_proj,layers.22.mlp.up_proj,mlp_projection,Linear,up_proj,22.0,24,0.95652173913,fake_int8_output,"42,43,44",3,2.18266287446,2.1812508602933334,-0.0014120141665133331,-0.00423085689545,0.00148588418961,0.002402603626253333,0.00423085689545,0.0015833158986344664,0.0118894577026,1.0,3,3,1,15.5331331889,16.9301338196,15.5331331889,16.9301338196,10.311576525363334,11.0388936996,0.0009098160250386667,0.000995358466753,0.0009098160250386667,0.000995358466753,0.0004250211144,0.000446532238129,0.139675712213,0.146789856255,1.8069611087433336e-06,2.25870138593e-06,0.00010585780519996667,0.00013220932351,0.005,1,1,0,0,0,16.9301338196,0.000995358466753
Qwen/Qwen2.5-0.5B,0.5,tatsu-lab/alpaca,base_model.model.model.layers.23.mlp.gate_proj,layers.23.mlp.gate_proj,mlp_projection,Linear,gate_proj,23.0,24,1.0,fake_int8_output,"42,43,44",3,2.18266287446,2.18379727006,0.0011343955993666668,-0.00354170799255,0.00483241677284,0.0034955342610666668,0.00483241677284,0.0013605571351060044,0.0171151161194,1.0,3,3,1,12.231616973899998,12.7684822083,12.231616973899998,12.7684822083,10.364306449866667,10.4230766296,0.0006991908861286667,0.000709800391633,0.0006991908861286667,0.000709800391633,0.0005298693273896667,0.000534400161996,0.184549878662,0.187567571178,1.9073478370066665e-06,1.95754120114e-06,0.000125834762912,0.000131456419695,0.005,1,1,0,0,0,12.7684822083,0.000709800391633
Qwen/Qwen2.5-0.5B,0.5,tatsu-lab/alpaca,base_model.model.model.layers.23.mlp.up_proj,layers.23.mlp.up_proj,mlp_projection,Linear,up_proj,23.0,24,1.0,fake_int8_output,"42,43,44",3,2.18266287446,2.18580529094,0.0031424164772066664,0.00077161192894,0.006991147995,0.0031424164772066664,0.006991147995,0.003362864599518687,0.0117784738541,0.6666666666666666,2,3,0,13.816622734066668,14.7901926041,12.231616973899998,12.7684822083,13.816622734066668,14.7901926041,0.0008479471337826666,0.000895745040907,0.0006991908861286667,0.000709800391633,0.0008479471337826666,0.000895745040907,0.24513109649233333,0.254652388394,1.75676774461e-06,2.10812129353e-06,0.00010676128480689999,0.000125884956844,0.005,0,1,0,1,1,14.7901926041,0.000895745040907
Qwen/Qwen2.5-0.5B,0.5,tatsu-lab/alpaca,base_model.model.model.layers.3.mlp.down_proj,layers.3.mlp.down_proj,mlp_projection,Linear,down_proj,3.0,24,0.130434782609,fake_int8_output,"42,43,44",3,2.18266287446,2.40352910757,0.22086623311066667,0.149062216282,0.297203242779,0.22086623311066667,0.297203242779,0.07417446967090204,0.390293598175,0.0,0,3,0,906.2406005859999,906.455688477,906.2406005859999,906.455688477,661.8871459963333,661.971801758,0.017075077320133334,0.0171105987392,0.011326843639833334,0.011444002972,0.017075077320133334,0.0171105987392,0.040436305416133335,0.0404715533368,2.17982710637e-06,2.17982710637e-06,2.17982710637e-06,2.17982710637e-06,0.005,0,0,1,1,1,906.455688477,0.0171105987392
Qwen/Qwen2.5-0.5B,0.5,tatsu-lab/alpaca,base_model.model.model.layers.4.input_layernorm,layers.4.input_layernorm,norm,Qwen2RMSNorm,input_layernorm,4.0,24,0.173913043478,fake_int8_output,"42,43,44",3,2.18266287446,2.1760015189666664,-0.00666135549545,-0.00834602117538,-0.00470495223999,0.00666135549545,0.00834602117538,0.00183568154387729,0.0228071212769,0.3333333333333333,1,3,0,662.7911173503334,662.846313477,662.7911173503334,662.846313477,33.4159787496,33.5219688416,0.018498409229033334,0.0185909869615,0.018498409229033334,0.0185909869615,0.005664683335150001,0.00569519790588,0.5204734827083334,0.530182786286,2.17982710637e-06,2.17982710637e-06,3.5422190762833333e-06,4.63213262947e-06,0.005,0,0,0,1,1,662.846313477,0.0185909869615
Qwen/Qwen2.5-0.5B,0.5,tatsu-lab/alpaca,base_model.model.model.layers.4.post_attention_layernorm,layers.4.post_attention_layernorm,norm,Qwen2RMSNorm,post_attention_layernorm,4.0,24,0.173913043478,fake_int8_output,"42,43,44",3,2.18266287446,2.18362917503,0.00096630056699,-0.00335463881493,0.00354048609734,0.0032027264436100002,0.00354048609734,0.0004341299600145346,0.0219759941101,1.0,3,3,1,662.8982137043333,662.988037109,662.8982137043333,662.988037109,41.679036458333336,41.9798469543,0.018555523827666665,0.0187044516206,0.018555523827666665,0.0187044516206,0.008653457897403334,0.00869477039669,0.8607551728686667,0.872420363128,2.17982710637e-06,2.17982710637e-06,2.17982710637e-06,2.17982710637e-06,0.005,1,1,0,0,0,662.988037109,0.0187044516206
