model_name,group_name,module_names,candidate_action,backend,hardware_label,backend_feasible,predicted_quality_risk,predicted_instability_risk,quality_recovery_vs_lowbit,memory_delta_gib_vs_bf16,throughput_delta_pct_vs_bf16,source_artifact,notes
meta-llama/Llama-3.1-8B,projection_storage,all projections,blanket_qlora_nf4,bitsandbytes,rtx3090-lab,true,0.00798336,0,0.00000000,-5.391328,-19.698277,experiments/h8-hardware-aware-precision-search/results/llama_h8_metrics_summary.json,Generated from 3 matched H8 qlora_nf4 rows.
meta-llama/Llama-3.1-8B,projection_storage,selected high-risk projection rescues,qlora_nf4_bf16_projection_rescue,bitsandbytes+torch,rtx3090-lab,true,0.00681742,0,0.00116593,-5.105074,-19.174164,experiments/h8-hardware-aware-precision-search/results/llama_h8_metrics_summary.json,Generated from 3 matched H8 h8_rescue rows.
meta-llama/Llama-3.1-8B,norm_logits,already non-quantized paths,backend_default,bitsandbytes,rtx3090-lab,true,0.00000000,0,0.00000000,0.000000,0.000000,experiments/h8-hardware-aware-precision-search/results/llama_h8_metrics_summary.json,H8 feasibility probes found norm/logit rescue mostly no-op under QLoRA/NF4.
