model_name,group_name,module_names,candidate_action,backend,hardware_label,backend_feasible,predicted_quality_risk,predicted_instability_risk,quality_recovery_vs_lowbit,memory_delta_gib_vs_bf16,throughput_delta_pct_vs_bf16,source_artifact,notes
meta-llama/Llama-3.1-8B,projection_storage,all projections,blanket_qlora_nf4,bitsandbytes,rtx3090-lab,true,0.00798336,0,0.00000000,-5.391328,-19.698277,experiments/h8-hardware-aware-precision-search/results/llama_h8_metrics_summary.json,Generated from 3 matched H8 qlora_nf4 rows.
meta-llama/Llama-3.1-8B,projection_storage,base_model.model.model.layers.28.mlp.down_proj;base_model.model.model.layers.30.self_attn.o_proj;base_model.model.model.layers.2.mlp.down_proj;base_model.model.model.layers.3.mlp.down_proj,qlora_nf4_bf16_rescue_activation_outlier_rescue,bitsandbytes+torch,rtx3090-lab,true,0.00759471,0,0.00038865,-5.105074,-19.174164,experiments/h10-peft-precision-risk/results/rescue_selector_evaluation_llama31_8b.json,Planning row from selector activation_outlier_rescue; expected recovery scales measured H8 top-4 recovery by unsafe_recall_at_k=0.333.
meta-llama/Llama-3.1-8B,projection_storage,base_model.model.model.layers.30.self_attn.o_proj;base_model.model.model.layers.28.mlp.down_proj;base_model.model.model.layers.2.mlp.down_proj;base_model.model.model.layers.3.mlp.down_proj,qlora_nf4_bf16_rescue_int8_mse_rescue,bitsandbytes+torch,rtx3090-lab,true,0.00759471,0,0.00038865,-5.105074,-19.174164,experiments/h10-peft-precision-risk/results/rescue_selector_evaluation_llama31_8b.json,Planning row from selector int8_mse_rescue; expected recovery scales measured H8 top-4 recovery by unsafe_recall_at_k=0.333.
meta-llama/Llama-3.1-8B,projection_storage,base_model.model.model.layers.2.mlp.down_proj;base_model.model.model.layers.3.mlp.down_proj;base_model.model.model.layers.28.mlp.down_proj;base_model.model.model.layers.2.self_attn.o_proj,qlora_nf4_bf16_rescue_role_prior_rescue,bitsandbytes+torch,rtx3090-lab,true,0.00759471,0,0.00038865,-5.105074,-19.174164,experiments/h10-peft-precision-risk/results/rescue_selector_evaluation_llama31_8b.json,Planning row from selector role_prior_rescue; expected recovery scales measured H8 top-4 recovery by unsafe_recall_at_k=0.333.
meta-llama/Llama-3.1-8B,projection_storage,base_model.model.model.layers.2.mlp.down_proj;base_model.model.model.layers.3.mlp.down_proj;base_model.model.model.layers.2.self_attn.o_proj;base_model.model.model.layers.28.mlp.down_proj,qlora_nf4_bf16_rescue_cross_model_logistic_unsafe,bitsandbytes+torch,rtx3090-lab,true,0.00759471,0,0.00038865,-5.105074,-19.174164,experiments/h10-peft-precision-risk/results/rescue_selector_evaluation_llama31_8b.json,Planning row from selector cross_model_logistic_unsafe; expected recovery scales measured H8 top-4 recovery by unsafe_recall_at_k=0.333.
meta-llama/Llama-3.1-8B,projection_storage,base_model.model.model.layers.30.self_attn.o_proj;base_model.model.model.layers.2.mlp.down_proj;base_model.model.model.layers.28.mlp.down_proj;base_model.model.model.layers.30.self_attn.q_proj,qlora_nf4_bf16_rescue_cross_model_ridge,bitsandbytes+torch,rtx3090-lab,true,0.00759471,0,0.00038865,-5.105074,-19.174164,experiments/h10-peft-precision-risk/results/rescue_selector_evaluation_llama31_8b.json,Planning row from selector cross_model_ridge; expected recovery scales measured H8 top-4 recovery by unsafe_recall_at_k=0.333.
meta-llama/Llama-3.1-8B,norm_logits,already non-quantized paths,backend_default,bitsandbytes,rtx3090-lab,true,0.00000000,0,0.00000000,0.000000,0.000000,experiments/h8-hardware-aware-precision-search/results/llama_h8_metrics_summary.json,H8 feasibility probes found norm/logit rescue mostly no-op under QLoRA/NF4.
